source	target	frequency
EIF2S1	PROKR1	0.01
EIF3I	TGFBR2	0.01
EIF4E	EIF4EBP3	0.01
EIF4E	MKNK1	0.01
EIF4EBP1	RORC	0.01
EIF4G3	PNCK	0.01
EIF6	PRKCB	0.01
ELANE	F2R	0.01
ELANE	SERPIND1	0.01
ELF3	PAK1	0.01
ELF4	MAPK8	0.01
ELFN1	FLT1	0.01
ELK1	PRP4K	0.01
ELK1	TAOK2	0.01
ELK3	MAPK14	0.01
ELMO1	HCK	0.01
ELN	FBLN5	0.01
ELP1	MAPK8	0.01
EMB	LYN	0.01
EML4	NEK6	0.01
EN2	PRKACA	0.01
ENC1	NFE2L2	0.01
ENG	KCNAB1	0.01
ENG	SCEL	0.01
ENG	SPARC	0.01
ENG	TGFBR2	0.01
ENO1	SRC	0.01
ENPP1	INSR	0.01
ENTPD1	TMIGD3	0.01
EP300	H2BC11	0.01
EP300	HIF1A	0.01
EP300	RPS6KA6	0.01
EP300	SENP3	0.01
EPAS1	PRKD1	0.01
EPB41L2	MAPK14	0.01
EPB41L3	PRKCB	0.01
EPGN	ERBB4	0.01
EPHA2	SLA	0.01
EPHA4	NGEF	0.01
EPHB1	PXN	0.01
EPHB2	SYNJ1	0.01
EPHB2	TAGAP	0.01
EPHX1	FOXA2	0.01
EPM2A	GSK3B	0.01
EPM2A	NHLRC1	0.01
EPOR	JAK2	0.01
EPOR	KIT	0.01
EPOR	SOCS2	0.01
ERBB2	GRB7	0.01
ERBB3	GRB7	0.01
ERBB3	L1CAM	0.01
ERBB3	NRG1	0.01
ERBB3	NRG2	0.01
ERBB3	PA2G4	0.01
ERBB4	EREG	0.01
ERBB4	HBEGF	0.01
ERBB4	LRIG1	0.01
ERBB4	NRG2	0.01
ERBB4	NRG3	0.01
ERBB4	SNTB2	0.01
ERBB4	STAT5A	0.01
ERBB4	TGFA	0.01
ERBB4	ZNF652	0.01
ERBIN	NOD2	0.01
ERBIN	PKP4	0.01
ERCC1	XPA	0.01
ERCC4	XPA	0.01
ERCC5	PCNA	0.01
ERCC6	ERCC8	0.01
ERCC6L	PLK1	0.01
ERCC8	TCEA2	0.01
ERCC8	XAB2	0.01
ERN2	HSPA5	0.01
ERO1A	ERP44	0.01
ERO1A	FAM20C	0.01
ERO1B	ERP44	0.01
ERVH48-1	SLC1A5	0.01
ESM1	HHEX	0.01
ESPL1	PTTG1	0.01
ESPL1	SMC1A	0.01
ESPN	MYO15A	0.01
ESR1	ESR2	0.01
ESR1	GTF2H2	0.01
ESR1	INA	0.01
ESR1	MAT1A	0.01
ESR1	MIR22HG	0.01
ESR1	MPG	0.01
ESR1	MTA1	0.01
ESR1	NCOA1	0.01
ESR1	PGR	0.01
ESR1	POU4F1	0.01
ESR1	XBP1	0.01
ESRRG	NR0B2	0.01
ETV1	RPS6KA5	0.01
ETV4	STK11	0.01
ETV5	PRKACA	0.01
ETV6	MAPK3	0.01
EVC	SMO	0.01
EVPL	MAPK14	0.01
EWSR1	MAPK11	0.01
EWSR1	PRMT8	0.01
EXTL1	SHH	0.01
EYA1	H2AX	0.01
EYA1	SIX1	0.01
EYA2	H2AX	0.01
EYA3	H2AX	0.01
EZH2	JAK3	0.01
F10	F3	0.01
F11	GP1BA	0.01
F11R	JAM2	0.01
F11R	TJP1	0.01
F12	GP1BA	0.01
F2	F2R	0.01
F2	F2RL1	0.01
F2	F2RL2	0.01
F2	F2RL3	0.01
F2	THBD	0.01
F2R	GNA15	0.01
F2R	GNAI2	0.01
F2R	KLK1	0.01
F2R	KLK6	0.01
F2R	KLK8	0.01
F2R	PRTN3	0.01
F2RL1	KLK5	0.01
F2RL1	KLK7	0.01
F2RL1	PLG	0.01
F2RL1	PRSS1	0.01
F2RL1	PRSS2	0.01
F2RL1	PRSS3	0.01
F2RL1	TPSAB1	0.01
F2RL1	TPSB2	0.01
F3	F7	0.01
F3	PRKCA	0.01
F7	HPN	0.01
F8	VWF	0.01
FA2H	GPR37	0.01
FAAP100	FANCA	0.01
FAAP24	FANCM	0.01
FABP3	PPARA	0.01
FABP4	INSR	0.01
FADD	FAS	0.01
FADD	HIPK3	0.01
FADD	PIDD1	0.01
FADD	TNFRSF10A	0.01
FADD	TNFRSF10B	0.01
FADD	TRADD	0.01
FAIM2	LEF1	0.01
FAM13A	RAC1	0.01
FAM20C	FGF23	0.01
FAM3B	FGFR2	0.01
FAM3C	LIFR	0.01
FAM3D	FPR2	0.01
FAN1	FANCD2	0.01
FANCD2	UBE2T	0.01
FANCD2	USP1	0.01
FANCI	USP1	0.01
FAP	NPY	0.01
FAS	PTPN13	0.01
FBLIM1	FERMT1	0.01
FBLIM1	FERMT2	0.01
FBLIM1	FLNB	0.01
FBLN1	ITGB1	0.01
FBLN2	ITGB3	0.01
FBN1	ITGA5	0.01
FBXL15	SMURF1	0.01
FBXL17	SUFU	0.01
FBXL21P	GSK3B	0.01
FBXL5	IREB2	0.01
FBXO11	TP53	0.01
FBXO33	YBX1	0.01
FBXO7	WDR62	0.01
FBXO9	TELO2	0.01
FBXW12	IL22RA1	0.01
FBXW5	PLK4	0.01
FBXW7	MYC	0.01
FBXW7	NOTCH1	0.01
FBXW7	NOTCH4	0.01
FBXW8	IRS1	0.01
FCAMR	PILRA	0.01
FCER1A	IGHE	0.01
FCER1A	ITIH2	0.01
FCER1A	PEAR1	0.01
FCER1G	PRKACA	0.01
FCGR1A	SPI1	0.01
FCGR2A	SYK	0.01
FCGR2B	FGL2	0.01
FCGR2B	LYN	0.01
FCGR2C	LYN	0.01
FCGR3A	IGHG1	0.01
FCGR3A	LCK	0.01
FCGR3B	IGHG1	0.01
FCGRT	IGFLR1	0.01
FCGRT	LILRA2	0.01
FCN2	LRP1	0.01
FCN3	MASP1	0.01
FCRL1	NETO2	0.01
FCRL3	ZAP70	0.01
FCRL4	JAML	0.01
FCRL4	TFF1	0.01
FDXR	TP53	0.01
FEN1	WRN	0.01
FER	PECAM1	0.01
FER	STAT3	0.01
FERMT2	IKBKE	0.01
FEZ1	MARK2	0.01
FFAR1	GNAQ	0.01
FFAR4	GNAQ	0.01
FGF1	FGFR3	0.01
FGF10	FGFR2	0.01
FGF11	FGFR2	0.01
FGF13	SCN2A	0.01
FGF13	SCN5A	0.01
FGF13	SCN8A	0.01
FGF16	FGFR2	0.01
FGF17	FGFR2	0.01
FGF19	FGFR4	0.01
FGF19	KLB	0.01
FGF2	FGFR3	0.01
FGF2	FGFR4	0.01
FGF2	FGFRL1	0.01
FGF2	GPC4	0.01
FGF2	LYVE1	0.01
FGF2	SDC1	0.01
FGF2	SDC2	0.01
FGF2	SDC4	0.01
FGF20	FGFR4	0.01
FGF23	FGFR3	0.01
FGF23	KL	0.01
FGF23	PHEX	0.01
FGF4	FGFR4	0.01
FGF4	POU5F1_SOX2	0.01
FGF7	FGFR2	0.01
FGFBP1	HIC1	0.01
FGFR1	LDHA	0.01
FGFR1	PRKCE	0.01
FGFR1	SHB	0.01
FGFR1	SYNCRIP	0.01
FGFR2	FRS2	0.01
FGFR2	PRKCE	0.01
FGFR3	STAT1	0.01
FGR	PTK2	0.01
FHIT	SRC	0.01
FHL1	RBPJ	0.01
FHOD1	PRKG1	0.01
FKBP5	NR3C1	0.01
FLII	SGK3	0.01
FLNA	GRM4	0.01
FLNA	GRM8	0.01
FLNA	PAK1	0.01
FLNC	PRKCA	0.01
FLOT1	SRC	0.01
FLT1	PGF	0.01
FLT3	IDH1	0.01
FLT3	IDH2	0.01
FLT3	SHC1	0.01
FLT4	VEGFC	0.01
FLT4	VEGFD	0.01
FMN2	MAPK14	0.01
FMNL2	PRKCA	0.01
FMO1	HNF4A	0.01
FN1	ITGA5	0.01
FN1	ITGA5_ITGB1	0.01
FN1	ITGA8	0.01
FN1	ITGA9	0.01
FN1	ITGB1	0.01
FN1	ITGB3	0.01
FN1	ITGB6	0.01
FN1	MAG	0.01
FN1	NT5E	0.01
FN1	TNC	0.01
FN1	TSHR	0.01
FNTA	TGFBR1	0.01
FNTB	HRAS	0.01
FOS	RPS6KA4	0.01
FOXA1	RARA	0.01
FOXA2	TFF1	0.01
FOXD3	NANOG	0.01
FOXF2	TBP	0.01
FOXG1	FOXO1	0.01
FOXG1	KDM5B	0.01
FOXH1	SMAD2	0.01
FOXI2	NOTCH1	0.01
FOXM1	LAMA4	0.01
FOXO1	HOXA10	0.01
FOXO1	KLF2	0.01
FOXO1	PCK1	0.01
FOXO1	SELENOP	0.01
FOXO1	SIRT1	0.01
FOXO1	STK4	0.01
FOXP1	IL2	0.01
FOXP1	SFTPC	0.01
FOXP3	PIM1	0.01
FPR1	TAFA4	0.01
FPR2	SAA1	0.01
FPR3	HEBP1	0.01
FRK	PTEN	0.01
FSTL3	MSTN	0.01
FTH1	NFE2L2	0.01
FUBP1	MYC	0.01
FUBP1	PUF60	0.01
FURIN	LRP1	0.01
FURIN	SORCS1	0.01
FUS	PRMT1	0.01
FXYD6	GDF9	0.01
FYCO1	KLC2	0.01
FYCO1	MAP1LC3A	0.01
FYN	GRIN2B	0.01
FYN	IFITM3	0.01
FYN	NPHS1	0.01
FYN	SLAMF1	0.01
FYN	THY1	0.01
FYN	TOM1L1	0.01
FYN	ZDHHC5	0.01
FZD3	WNT5A	0.01
FZD4	WNT5A	0.01
FZD4	WNT7B	0.01
FZD5	WNT10B	0.01
FZD5	WNT3A	0.01
FZD5	WNT5A	0.01
FZD5	WNT7A	0.01
FZD6	SFRP1	0.01
FZD6	SMOC2	0.01
FZD6	WNT3A	0.01
FZD6	WNT4	0.01
FZD7	MYOC	0.01
FZD7	WNT3	0.01
FZD7	WNT6	0.01
FZD8	LRP6	0.01
FZD8	WNT3	0.01
FZD8	WNT5B	0.01
FZD8	WNT8A	0.01
FZD9	WNT7A	0.01
GAB1	INSR	0.01
GAB1	MAPK1	0.01
GAB2	MAPK3	0.01
GAB2	ZAP70	0.01
GABARAPL1	NBR1	0.01
GABARAPL2	NBR1	0.01
GABARAPL2	TP53INP2	0.01
GABBR2	PRKACA	0.01
GABPA	KEAP1	0.01
GABRA1	PCDH19	0.01
GABRA1	PRKACA	0.01
GABRA2	PCDH19	0.01
GABRA5	PCDH19	0.01
GABRA6	PCDH19	0.01
GABRB1	PRKCA	0.01
GABRB2	PRKCB	0.01
GADD45A	TIA1	0.01
GADD45GIP1	NR4A1	0.01
GAK	SRC	0.01
GAL	GALR3	0.01
GALR2	GNAQ	0.01
GALR2	SPX	0.01
GALR3	SPX	0.01
GAP43	LYPLA2	0.01
GAP43	PRKCB	0.01
GAPDH	PRKAA1	0.01
GAS1	SHH	0.01
GAS6	MERTK	0.01
GAS6	TYRO3	0.01
GATA3	STAT6	0.01
GATA4	ZFPM2	0.01
GBGT1	NFAT5	0.01
GBX2	WNT1	0.01
GCG	GCGR	0.01
GCG	GLP1R	0.01
GCG	GLP2R	0.01
GCGR	GNAS	0.01
GCH1	GCHFR	0.01
GCLM	NFE2L2	0.01
GCSAM	SYK	0.01
GDF15	RET	0.01
GDF9	ORAI2	0.01
GDI1	RAB3A	0.01
GDNF	GFRA1	0.01
GFAP	NFIA	0.01
GFI1	PROX1	0.01
GFRA1	NRTN	0.01
GFRA1	PSPN	0.01
GFRA2	NRTN	0.01
GFRA4	PSPN	0.01
GHR	JAK2	0.01
GHRL	GHSR	0.01
GHRL	MLNR	0.01
GHSR	LEAP2	0.01
GIP	GIPR	0.01
GIPC1	ITGA5	0.01
GIPC1	TPBG	0.01
GIPC1	TYRP1	0.01
GIT1	PXN	0.01
GJA1	GJA3	0.01
GJA1	GJA5	0.01
GJA1	MAPK7	0.01
GJA1	PRKCE	0.01
GJA1	TJP1	0.01
GJA4	OPRM1	0.01
GJB1	PRKACA	0.01
GJB2	GJB6	0.01
GJC1	TJP1	0.01
GLI1	GLI2	0.01
GLI1	MTSS1	0.01
GLI1	NUMB	0.01
GLI1	PTCH1	0.01
GLI1	SUFU	0.01
GLI3	GSK3B	0.01
GLI3	SPOP	0.01
GLIS2	SUFU	0.01
GLIS3	SUFU	0.01
GLRB	SRC	0.01
GLRX	MAP3K5	0.01
GLS_SLC1A3	GRM4	0.01
GLS_SLC1A3	GRM6	0.01
GLS2_SLC1A7	GRIK3	0.01
GLS2_SLC1A7	GRM6	0.01
GLS2	TP53	0.01
GNA11	GNRHR	0.01
GNA11	PLCB2	0.01
GNA13	GPR35	0.01
GNA13	LPAR1	0.01
GNA14	OPRL1	0.01
GNA15	GRM2	0.01
GNA15	TRHR	0.01
GNAI1	GPR183	0.01
GNAI1	GPR84	0.01
GNAI1	HTR1D	0.01
GNAI1	NMUR2	0.01
GNAI1	S1PR1	0.01
GNAI1	S1PR3	0.01
GNAI1	SSTR2	0.01
GNAI2	LHCGR	0.01
GNAI2	MTNR1A	0.01
GNAI2	S1PR5	0.01
GNAL	P2RY6	0.01
GNAL	S1PR3	0.01
GNAO1	PTAFR	0.01
GNAQ	GRPR	0.01
GNAQ	HTR2A	0.01
GNAQ	RGS4	0.01
GNAQ	S1PR2	0.01
GNAQ	TBXA2R	0.01
GNAS	GNRHR	0.01
GNAS	GPR161	0.01
GNAS	GPR174	0.01
GNAS	HTR4	0.01
GNAS	PTGDR	0.01
GNAS	PTGER2	0.01
GNAS	PTGFR	0.01
GNAS	PTGIR	0.01
GNAS	VIPR1	0.01
GNAT2	SMO	0.01
GNAZ	GPR132	0.01
GNAZ	LPAR5	0.01
GNAZ	OXGR1	0.01
GNAZ	PRKCD	0.01
GNB1	GNG2	0.01
GNB1	SMO	0.01
GNB2	GRM1	0.01
GNB2	KCNA1	0.01
GNB3	TGFBR1	0.01
GNMT	PRKACA	0.01
GNRH1	GNRHR	0.01
GNRH1	POU3F2	0.01
GNRH2	GNRHR	0.01
GNRHR	MMP15	0.01
GOLGA2	RAB1A	0.01
GORASP2	MAPK1	0.01
GP1BA	TPST1	0.01
GP1BA	VWF	0.01
GP5	LAYN	0.01
GP5	SELP	0.01
GPC1	SLIT1	0.01
GPC1	VEGFA	0.01
GPC2	MDK	0.01
GPC3	IGF1R	0.01
GPHA2	TSHR	0.01
GPHN	GSK3B	0.01
GPM6A	PRKCA	0.01
GPR135	KNG1	0.01
GPR142	INSL5	0.01
GPR171	PCSK1N	0.01
GPR37	PRKN	0.01
GPR37	PSAP	0.01
GPR37L1	PSAP	0.01
GPR55	MSMB	0.01
GPR55	SPAG11B	0.01
GPR83	NPY	0.01
GPR83	PCSK1N	0.01
GPRIN1	MECP2	0.01
GRB10	IGF1R	0.01
GRB10	INSR	0.01
GRB14	INSR	0.01
GRB2	INPP5D	0.01
GRB2	SOS2	0.01
GRB7	KIT	0.01
GREB1	SMAD3	0.01
GRHL1	MAPK3	0.01
GRIA1	NPTX1	0.01
GRIA1	PRKG2	0.01
GRIA2	PICK1	0.01
GRIA2	PRKCA	0.01
GRIA4	PRKACA	0.01
GRID2	PTPN4	0.01
GRIK2	KLHL17	0.01
GRIK2	PRKACA	0.01
GRIN1	GRIN2C	0.01
GRIN1	PRKCA	0.01
GRIN2A	PTPN4	0.01
GRIN2B	PTPRG	0.01
GRIN2D	IL16	0.01
GRIP1	GRIPAP1	0.01
GRK1	RHO	0.01
GRK2	PDE6G	0.01
GRK2	RPLP2	0.01
GRK2	SNCA	0.01
GRK2	TUBB3	0.01
GRK5	SNCA	0.01
GRK5	SNCG	0.01
GRM7	PICK1	0.01
GRN	TNFRSF1A	0.01
GRPR	NMB	0.01
GRPR	PLA2G1B	0.01
GSC	HHEX	0.01
GSK3A	HSF1	0.01
GSK3B	GTF2IRD1	0.01
GSK3B	IL17RA	0.01
GSK3B	LRP6	0.01
GSK3B	MAP1B	0.01
GSK3B	MYCN	0.01
GSK3B	NACA	0.01
GSK3B	NEB	0.01
GSK3B	NIFK	0.01
GSK3B	NUDT11	0.01
GSK3B	PAX3	0.01
GSK3B	PPIF	0.01
GSK3B	RBM38	0.01
GSK3B	RCAN1	0.01
GSK3B	SNRNP70	0.01
GSK3B	SREBF1	0.01
GSK3B	YBX3	0.01
GSN	SRC	0.01
GSTA1	KEAP1	0.01
GSTA2	PPARG	0.01
GSTP1	TRAF2	0.01
GTF2I	PRKG1	0.01
GTF2I	USF1	0.01
GTF3C4	H3C3	0.01
GTSE1	PLK1	0.01
GUCA2B	GUCY2C	0.01
GUCA2B	GUCY2D	0.01
GUCY1B1	SRC	0.01
GUCY2C	HNF4A	0.01
H1-2	PRKDC	0.01
H2AX	NBN	0.01
H2AX	TP53BP1	0.01
H2BC11	NAP1L1	0.01
H2BC9	SLBP	0.01
H3C3	KAT2B	0.01
H3C3	KAT6A	0.01
H3C3	KDM1B	0.01
H3C3	KDM4B	0.01
H3C3	KDM6A	0.01
H3C3	KDM6B	0.01
H3C3	KMT2A	0.01
H3C3	NSD1	0.01
H3C3	PRDM2	0.01
H3C3	SETD2	0.01
H3C3	SETDB2	0.01
H3C3	SIRT6	0.01
H4C9	KAT2B	0.01
H4C9	KMT5B	0.01
H4C9	KMT5C	0.01
H4C9	PRMT5	0.01
HAP1	NEUROD1	0.01
HAPLN1	MMP10	0.01
HAPLN1	MMP7	0.01
HAVCR1	SLAMF6	0.01
HAVCR1	TIMD4	0.01
HAVCR2	LGALS9	0.01
HBA1	HP	0.01
HBB	HP	0.01
HCK	PLCG2	0.01
HCN2	SRC	0.01
HCN4	SRC	0.01
HCRT	HCRTR1	0.01
HCRT	NPFFR2	0.01
HDAC10	TRIM28	0.01
HDAC2	NANOS1	0.01
HDAC4	MEF2C	0.01
HDAC6	TUBA4B	0.01
HDAC7	PRKD1	0.01
HDAC8	PRKACA	0.01
HDAC9	MEF2C	0.01
HDC	HRH1	0.01
HDC	HRH2	0.01
HDC	HRH4	0.01
HERPUD1	SH3RF1	0.01
HES1	NOTCH1	0.01
HES5	NOTCH1	0.01
HEY1	STK38	0.01
HEY2	NOTCH1	0.01
HGF	MET	0.01
HGFAC	LRP1	0.01
HHEX	ITGA5	0.01
HHEX	SLC10A1	0.01
HHEX	SLC5A5	0.01
HHIP	IHH	0.01
HIC1	SIRT1	0.01
HIC1	SMARCA4	0.01
HIF1A	NAA10	0.01
HIF3A	PINK1	0.01
HINFP	NPAT	0.01
HIPK2	HMGA1	0.01
HIPK2	MECP2	0.01
HIPK2	SIAH1	0.01
HIPK2	SPAST	0.01
HIPK2	TLE1	0.01
HIPK2	WSB1	0.01
HIPK4	TP53	0.01
HIVEP1	MAPK14	0.01
HK1	SRC	0.01
HLA-A	KIR3DL1	0.01
HLA-A	LILRB1	0.01
HLA-A	LILRB2	0.01
HLA-B	LILRB2	0.01
HLA-C	LILRB2	0.01
HLA-DPA1	LAG3	0.01
HLA-DPB1	LAG3	0.01
HLA-DQA1	LAG3	0.01
HLA-DQA2	LAG3	0.01
HLA-DQB1	LAG3	0.01
HLA-DQB2	LAG3	0.01
HLA-DRB5	LAG3	0.01
HLA-E	KLRD1	0.01
HLA-E	KLRK1	0.01
HLA-F	LILRB1	0.01
HLA-G	KIR2DL4	0.01
HLA-G	KLRD1	0.01
HLA-G	LILRB2	0.01
HMGA1	POU3F1	0.01
HMGA1	PRMT6	0.01
HMGCR	PRKACA	0.01
HMGN1	RPS6KA4	0.01
HMGN1	RPS6KA5	0.01
HMMR	TPX2	0.01
HMOX1	NFE2L2	0.01
HNF1B	SULF1	0.01
HNF4A	NR1I2	0.01
HNF4A	PROZ	0.01
HNF4A	TTR	0.01
HNRNPA1	PRMT1	0.01
HNRNPA1	RPS6KB2	0.01
HNRNPA1	TNPO1	0.01
HOMER1	SHANK1	0.01
HOOK3	MARCO	0.01
HOOK3	MSR1	0.01
HOXA11	KMT2A	0.01
HOXA13	KMT2A	0.01
HOXA4	RARA	0.01
HOXA5	TP53	0.01
HOXA7	RARA	0.01
HOXA9	MEIS1	0.01
HOXA9	PRMT5	0.01
HOXB2	ZBTB16	0.01
HOXB5	RARA	0.01
HOXB7	PRKDC	0.01
HOXB8	PBX1	0.01
HOXB8	PBX3	0.01
HOXC9	MEN1	0.01
HP	ITGAM	0.01
HPCA	NAIP	0.01
HRAS	RAF1	0.01
HRAS	RASA1	0.01
HRAS	RASGEF1A	0.01
HRAS	RIN1	0.01
HRAS	SOS1	0.01
HRAS	TIAM1	0.01
HRH1	PRKCA	0.01
HSBP1	HSF1	0.01
HSF1	HSPA1B	0.01
HSF1	MAPK3	0.01
HSP90AA1	SMYD2	0.01
HSP90B1	TLR2	0.01
HSPA1B	PACRG	0.01
HSPA1L	MAPKAPK2	0.01
HSPA5	SIL1	0.01
HSPA8	STUB1	0.01
HSPB1	MAPKAPK3	0.01
HSPB1	NFKBIA	0.01
HSPB1	PKD1	0.01
HSPB1	RPS6KB2	0.01
HSPB6	PRKACA	0.01
HSPB8	MAPK3	0.01
HTR1B	S100A10	0.01
HTR1E	TPH1	0.01
HTR1F	TPH1	0.01
HTR2A	PON2	0.01
HYAL2	SMAD4	0.01
IAPP	PCSK1	0.01
IAPP	PCSK2	0.01
IAPP	RAMP1	0.01
IBSP	ITGB3	0.01
ICAM1	ITGAL	0.01
ICAM1	ITGB2	0.01
ICAM1	SPN	0.01
ICAM2	ITGB2	0.01
ICAM3	ITGB2	0.01
ICAM5	ITGB2	0.01
ICAM5	PRTG	0.01
ICOS	PIK3R1	0.01
ID1	TCF4	0.01
ID2	TCF3	0.01
ID2	TCF4	0.01
ID3	TCF12	0.01
ID3	TCF3	0.01
IER3	MAPK1	0.01
IFNAR2	IFNE	0.01
IFNAR2	IRF9	0.01
IFNG	IFNGR1	0.01
IFNG	IFNGR2	0.01
IFNG	PSMB8	0.01
IFNGR1	SOCS1	0.01
IFNL2	IFNLR1	0.01
IFNL2	IL10RB	0.01
IFNLR1	JAK1	0.01
IGDCC4	LTF	0.01
IGDCC4	PLB1	0.01
IGF1	IRS1	0.01
IGF1R	IGF2	0.01
IGF1R	PDLIM1	0.01
IGF1R	SLC6A1	0.01
IGF1R	TDO2	0.01
IGF2	IGF2R	0.01
IGFBP1	PRKCA	0.01
IGFBP3	TMEM219	0.01
IGFBP4	LRP6	0.01
IGFL1	IGFLR1	0.01
IGFL2	IGFLR1	0.01
IGFL3	IGFLR1	0.01
IGSF10	MILR1	0.01
IGSF10	SLAMF9	0.01
IGSF21	IYD	0.01
IGSF21	NRXN2	0.01
IGSF5	LNX1	0.01
IGSF9B	NEGR1	0.01
IHH	PTCH2	0.01
IKBKB	KEAP1	0.01
IKBKB	TSC1	0.01
IKBKE	IRF3	0.01
IKBKE	IRF7	0.01
IKBKE	MAVS	0.01
IKBKE	NFKBIA	0.01
IKBKE	RELA	0.01
IKBKE	RIGI	0.01
IKBKE	TANK	0.01
IKBKE	TRAF3	0.01
IKBKG	TNFAIP3	0.01
IKBKG	TNIP1	0.01
IL10RB	IL22	0.01
IL10RB	UCN2	0.01
IL11	IL11RA	0.01
IL11	IL6ST	0.01
IL12A	IL12RB1	0.01
IL12A	REL	0.01
IL12RB1	IL23A	0.01
IL13RA1	IL4	0.01
IL13RA2	IL4	0.01
IL15	IL15RA	0.01
IL15	IL2RG	0.01
IL16	KCND1	0.01
IL16	KCND2	0.01
IL17C	IL17RA	0.01
IL17C	IL17RE	0.01
IL17RD	TNFRSF1B	0.01
IL18	IL18R1	0.01
IL18	IL1RAPL1	0.01
IL18	IL1RL2	0.01
IL18R1	IL37	0.01
IL1R1	IL1RN	0.01
IL1R1	IRAK1	0.01
IL1RAP	TOLLIP	0.01
IL1RAPL1	SIGLEC12	0.01
IL1RL1	IL33	0.01
IL1RL2	IL36A	0.01
IL1RL2	IL36G	0.01
IL1RL2	IL36RN	0.01
IL2	IL2RG	0.01
IL20	IL20RA	0.01
IL20	IL22RA1	0.01
IL20RA	LYPD6	0.01
IL21	IL2RG	0.01
IL22	IL22RA1	0.01
IL22	IL22RA2	0.01
IL2RG	JAK3	0.01
IL31	IL31RA	0.01
IL31	OSMR	0.01
IL37	SIGIRR	0.01
IL4	IL4R	0.01
IL4R	JAK3	0.01
IL4R	SIGLEC8	0.01
IL5RA	JAK2	0.01
IL6	IL6R	0.01
IL6	IL6ST	0.01
IL6R	LRTM2	0.01
IL6ST	JAK1	0.01
IL6ST	OSM	0.01
IL7	IL7R	0.01
IL7R	JAK3	0.01
IL7R	TSLP	0.01
ILK	PARVB	0.01
ILK	PPP1R14C	0.01
ILK	PXN	0.01
ILK	SYNPO2	0.01
INF2	SPOP	0.01
INHA	TGFBR3	0.01
INHBA	TGFBR3	0.01
INHBB	TGFBR3L	0.01
INPP5D	SHC1	0.01
INSL3	RXFP2	0.01
INSL5	RXFP4	0.01
INSR	NAMPT	0.01
IQGAP1	PRKCE	0.01
IQGAP2	PRKACA	0.01
IRAK1	IRAK2	0.01
IRAK1	IRAK3	0.01
IRAK1	IRF7	0.01
IRAK1	MYD88	0.01
IRAK1	PELI1	0.01
IRAK1	PELI2	0.01
IRAK1	PELI3	0.01
IRAK1	TOLLIP	0.01
IRF1	IRF8	0.01
IRF1	ISG20	0.01
IRF1	TBC1D32	0.01
IRF3	ISG15	0.01
IRF5	TRAF6	0.01
IRF8	SPI1	0.01
IRF9	STAT1	0.01
IRF9	STAT2	0.01
IRS1	MET	0.01
IRS1	PIK3CG	0.01
IRS1	PRKCQ	0.01
IRS1	PTPRF	0.01
IRS1	SIK2	0.01
IRS2	JAK3	0.01
IRS4	MTNR1A	0.01
IRX2	MAPK1	0.01
ISCU	MTOR	0.01
IST1	SPAST	0.01
IST1	ULK3	0.01
ITCH	SPART	0.01
ITCH	TP63	0.01
ITCH	TP73	0.01
ITGA1	SEMA7A	0.01
ITGA3_ITGB1	TGFBI	0.01
ITGA3_ITGB1	THBS1	0.01
ITGA6	LAMA5	0.01
ITGA6	LAMC1	0.01
ITGA6	THBS1	0.01
ITGA7	LAMA1	0.01
ITGA7	TNC	0.01
ITGA9	SVEP1	0.01
ITGAM	SPI1	0.01
ITGAM	SPON2	0.01
ITGAV_ITGB3	POSTN	0.01
ITGAV_ITGB3	SPP1	0.01
ITGAV	TGFB1	0.01
ITGB1	ITGB1BP1	0.01
ITGB1	LGALS3BP	0.01
ITGB1	LGALS8	0.01
ITGB1	PCDH10	0.01
ITGB1	PCDH9	0.01
ITGB1	PCDHA3	0.01
ITGB1	PCDHA4	0.01
ITGB1	PCDHA5	0.01
ITGB1	PCDHA6	0.01
ITGB1	PCDHA7	0.01
ITGB1	PCDHAC2	0.01
ITGB3	MFGE8	0.01
ITGB3BP	ITGB5	0.01
ITGB4	LAMB3	0.01
ITGB4	LAMC2	0.01
ITGB4	MET	0.01
ITGB5	LTBP1	0.01
ITGB5	LTBP3	0.01
ITGB5	PAK4	0.01
ITGB6	TGFB1	0.01
ITGB7	MADCAM1	0.01
ITGB8	TGFB1	0.01
ITK	LCK	0.01
ITK	LCP2	0.01
ITK	SIGLEC10	0.01
ITPKA	PRKCA	0.01
ITPKB	PRKACA	0.01
ITPR1	PRKG1	0.01
ITPR2	TRPC1	0.01
ITPR3	TRPC3	0.01
IZUMO1	IZUMO1R	0.01
JAG1	NEURL1	0.01
JAG1	NOTCH4	0.01
JAG2	NOTCH3	0.01
JAK1	JAK3	0.01
JAK1	SNX8	0.01
JAK1	STAT6	0.01
JAK2	LEPR	0.01
JAK2	MPL	0.01
JAK3	PLD2	0.01
JAK3	SOCS1	0.01
JAK3	STAM	0.01
JAK3	STAT5A	0.01
JAKMIP1	TUBB	0.01
JAM2	JAM3	0.01
JAM3	MXRA8	0.01
JPH3	RPS6KA3	0.01
JUN	MAPK10	0.01
JUN	MAPK9	0.01
JUN	SPI1	0.01
JUN	VRK1	0.01
JUND	MAPK8	0.01
JUND	MEN1	0.01
KALRN	MAPKAPK5	0.01
KCNA2	PTK2B	0.01
KCNA3	NTRK2	0.01
KCNA4	LNX1	0.01
KCNA5	PRKAA1	0.01
