source	target	frequency
ARHGAP24	ROCK1	0.01
ARHGAP26	RHOA	0.01
ARHGAP28	RHOA	0.01
ARHGAP31	RAC1	0.01
ARHGAP33	FYN	0.01
ARHGAP5	RHOA	0.01
ARHGAP6	RHOA	0.01
ARHGAP8	MAPK8	0.01
ARHGDIB	SRC	0.01
ARHGEF1	GNA13	0.01
ARHGEF1	RHOA	0.01
ARHGEF11	RHOA	0.01
ARHGEF15	EPHA4	0.01
ARHGEF18	RHOA	0.01
ARHGEF19	GRHL3	0.01
ARHGEF19	RHOA	0.01
ARHGEF2	PAK1	0.01
ARHGEF2	RHOA	0.01
ARHGEF28	RHOA	0.01
ARHGEF3	RHOA	0.01
ARHGEF4	RHOA	0.01
ARHGEF5	RHOA	0.01
ARID3A	TP53	0.01
ARNT_HIF1A	FECH	0.01
ARNT_HIF1A	PFKL	0.01
ARNT_HIF1A	SLC2A3	0.01
ARNT_HIF1A	TFRC	0.01
ARNT	HIF1A	0.01
ARNT	SIM2	0.01
ARPP21	PRKACA	0.01
ARRB2	SLC9A5	0.01
ARTN	GFRA1	0.01
ARTN	GFRA3	0.01
ASAP1	SRC	0.01
ASAP2	PTK2B	0.01
ASAP3	STK26	0.01
ASB2	FLNA	0.01
ASCC3	TP53	0.01
ASCL1	SOX10	0.01
ASF1B	CHAF1B	0.01
ASF1B	H4C9	0.01
ASGR1	TG	0.01
ASGR2	F8	0.01
ASH1L	H3C3	0.01
ASIC1	PICK1	0.01
ASIP	ATRN	0.01
ASIP	MC1R	0.01
ASPH	TRPC3	0.01
ASXL3	CBX5	0.01
ATAD2	ESR1	0.01
ATF1	NKX6-1	0.01
ATF1	RPS6KA5	0.01
ATF2	CREB5	0.01
ATF2	JDP2	0.01
ATF2	MAPK11	0.01
ATF3	FOXL2	0.01
ATF3	TP53	0.01
ATG16L1	GAN	0.01
ATG16L1	NOD2	0.01
ATG16L1	RAB33B	0.01
ATG2A	WDR45	0.01
ATG2B	WDR45	0.01
ATG4B	MAP1LC3C	0.01
ATG4B	STK26	0.01
ATG7	MAP1LC3A	0.01
ATM	AVEN	0.01
ATM	CHD4	0.01
ATM	DMD	0.01
ATM	EIF4EBP1	0.01
ATM	H2AX	0.01
ATM	HIF1A	0.01
ATM	LAMTOR5	0.01
ATM	MACROD2	0.01
ATM	MCM5	0.01
ATM	MCM6	0.01
ATM	NABP2	0.01
ATM	NFAT5	0.01
ATM	NUSAP1	0.01
ATM	PAN2	0.01
ATM	PCDH7	0.01
ATM	POLR1G	0.01
ATM	PPL	0.01
ATM	RIF1	0.01
ATM	SLC2A1	0.01
ATM	SLTM	0.01
ATM	TELO2	0.01
ATM	TTC5	0.01
ATM	UBQLN4	0.01
ATM	ZFHX3	0.01
ATM	ZNF148	0.01
ATM	ZNF420	0.01
ATP1A1	SRC	0.01
ATP2B1	PRKACA	0.01
ATP2B2	DLG1	0.01
ATP2B2	DLG2	0.01
ATP7B	PRKD1	0.01
ATR	FANCA	0.01
ATR	H2AX	0.01
ATR	POLN	0.01
ATR	WDHD1	0.01
ATR	XPA	0.01
ATXN2L	MPL	0.01
AURKA	AURKAIP1	0.01
AURKA	FAF1	0.01
AURKA	LATS2	0.01
AURKA	MAP9	0.01
AURKA	NDC80	0.01
AURKA	RALA	0.01
AURKA	SOX8	0.01
AURKA	TACC1	0.01
AURKA	TIFA	0.01
AURKA	TPX2	0.01
AURKB	BIRC5	0.01
AURKB	CDCA5	0.01
AURKB	CENPA	0.01
AURKB	CHMP4C	0.01
AURKB	DES	0.01
AURKB	DSN1	0.01
AURKB	FOXM1	0.01
AURKB	GFAP	0.01
AURKB	INCENP	0.01
AURKB	KIF23	0.01
AURKB	KIF4A	0.01
AURKB	MAPRE2	0.01
AURKB	REC8	0.01
AURKB	RPRD1B	0.01
AURKB	SEPTIN1	0.01
AURKB	SHCBP1	0.01
AURKB	SLC45A2	0.01
AURKB	ZFYVE19	0.01
AURKB	ZWINT	0.01
AURKC	TACC1	0.01
AUTS2	DOCK1	0.01
AVP	AVPR1A	0.01
AVP	AVPR1B	0.01
AVP	AVPR2	0.01
AVP	OXTR	0.01
AVPR2	GNAS	0.01
AXIN1	DAB2	0.01
AXIN1	DIXDC1	0.01
AXIN1	DVL2	0.01
AXIN1	MAP3K4	0.01
AXIN1	PPP2CA	0.01
