gene	expr_score	expr_direction	prom_score	prom_direction	body_score	body_direction	concordance	prize
AL445309.1	0.833247396101887	-1	NA	NA	NA	NA	0	0.833247396101887
KCNV1	0.83319583376302	1	NA	NA	NA	NA	0	0.83319583376302
LKAAEAR1	0.833144271424152	1	NA	NA	NA	NA	0	0.833144271424152
AC093083.1	0.833092709085284	-1	NA	NA	NA	NA	0	0.833092709085284
LMO3	0.833041146746416	1	NA	NA	NA	NA	0	0.833041146746416
CP	0.832989584407549	-1	NA	NA	NA	NA	0	0.832989584407549
AC026167.1	0.832938022068681	-1	NA	NA	NA	NA	0	0.832938022068681
GUSBP14	0.832886459729813	-1	NA	NA	NA	NA	0	0.832886459729813
AL355578.1	0.832834897390946	-1	NA	NA	NA	NA	0	0.832834897390946
LGALS1	0.832783335052078	1	NA	NA	NA	NA	0	0.832783335052078
AC079305.2	0.83273177271321	-1	NA	NA	NA	NA	0	0.83273177271321
AP000525.1	0.832680210374343	1	NA	NA	NA	NA	0	0.832680210374343
BPIFA1	0.832628648035475	1	NA	NA	NA	NA	0	0.832628648035475
LINC00853	0.832577085696607	1	NA	NA	NA	NA	0	0.832577085696607
SLC1A2	0.83252552335774	-1	NA	NA	NA	NA	0	0.83252552335774
AC126175.2	0.832473961018872	-1	NA	NA	NA	NA	0	0.832473961018872
AL354953.1	0.832422398680004	1	NA	NA	NA	NA	0	0.832422398680004
RPS16P5	0.832370836341136	-1	NA	NA	NA	NA	0	0.832370836341136
AL033519.5	0.832319274002269	-1	NA	NA	NA	NA	0	0.832319274002269
COL2A1	0.832267711663401	1	NA	NA	NA	NA	0	0.832267711663401
AC005682.1	0.832216149324533	-1	NA	NA	NA	NA	0	0.832216149324533
NAGPA-AS1	0.832164586985666	-1	NA	NA	NA	NA	0	0.832164586985666
GOLGA8IP	0.832113024646798	-1	NA	NA	NA	NA	0	0.832113024646798
LINC01479	0.83206146230793	1	NA	NA	NA	NA	0	0.83206146230793
AC010271.1	0.832009899969063	-1	NA	NA	NA	NA	0	0.832009899969063
SLC45A2	0.831958337630195	1	NA	NA	NA	NA	0	0.831958337630195
OR7E28P	0.831906775291327	1	NA	NA	NA	NA	0	0.831906775291327
MKRN2OS	0.83185521295246	1	NA	NA	NA	NA	0	0.83185521295246
AL954705.1	0.831803650613592	-1	NA	NA	NA	NA	0	0.831803650613592
AC120498.4	0.831752088274724	1	NA	NA	NA	NA	0	0.831752088274724
AC122718.2	0.831700525935856	-1	NA	NA	NA	NA	0	0.831700525935856
AC105285.1	0.831648963596989	1	NA	NA	NA	NA	0	0.831648963596989
UNC5D	0.831597401258121	-1	NA	NA	NA	NA	0	0.831597401258121
GPR12	0.831545838919253	-1	NA	NA	NA	NA	0	0.831545838919253
AC068473.3	0.831494276580386	-1	NA	NA	NA	NA	0	0.831494276580386
SEC14L2	0.831442714241518	1	NA	NA	NA	NA	0	0.831442714241518
JAG2	0.83139115190265	1	NA	NA	NA	NA	0	0.83139115190265
AC004012.1	0.831339589563783	1	NA	NA	NA	NA	0	0.831339589563783
OXTR	0.831288027224915	1	NA	NA	NA	NA	0	0.831288027224915
AL356488.1	0.831236464886047	-1	NA	NA	NA	NA	0	0.831236464886047
CENPK	0.83118490254718	1	NA	NA	NA	NA	0	0.83118490254718
KCNK15	0.831133340208312	1	NA	NA	NA	NA	0	0.831133340208312
LINC00668	0.831081777869444	-1	NA	NA	NA	NA	0	0.831081777869444
P2RX2	0.831030215530576	-1	NA	NA	NA	NA	0	0.831030215530576
AC124861.1	0.830978653191709	-1	NA	NA	NA	NA	0	0.830978653191709
PLA2G7	0.830927090852841	-1	NA	NA	NA	NA	0	0.830927090852841
GCATP1	0.830875528513973	-1	NA	NA	NA	NA	0	0.830875528513973
CX3CL1	0.830823966175106	1	NA	NA	NA	NA	0	0.830823966175106
ATP11A	0.830772403836238	1	NA	NA	NA	NA	0	0.830772403836238
PAH	0.83072084149737	-1	NA	NA	NA	NA	0	0.83072084149737
RSPH4A	0.830669279158503	-1	NA	NA	NA	NA	0	0.830669279158503
AL603839.4	0.830617716819635	1	NA	NA	NA	NA	0	0.830617716819635
KLKP1	0.830566154480767	-1	NA	NA	NA	NA	0	0.830566154480767
HDAC9	0.8305145921419	1	NA	NA	NA	NA	0	0.8305145921419
KRTAP5-10	0.830463029803032	1	NA	NA	NA	NA	0	0.830463029803032
PGF	0.830411467464164	-1	NA	NA	NA	NA	0	0.830411467464164
IL17C	0.830359905125296	1	NA	NA	NA	NA	0	0.830359905125296
AP001029.3	0.830308342786429	1	NA	NA	NA	NA	0	0.830308342786429
KARS1P2	0.830256780447561	-1	NA	NA	NA	NA	0	0.830256780447561
ST3GAL5	0.830205218108693	1	NA	NA	NA	NA	0	0.830205218108693
AL096816.1	0.830153655769826	-1	NA	NA	NA	NA	0	0.830153655769826
TLE1P1	0.830102093430958	-1	NA	NA	NA	NA	0	0.830102093430958
TNFAIP8L3	0.83005053109209	-1	NA	NA	NA	NA	0	0.83005053109209
AC139100.2	0.829998968753223	-1	NA	NA	NA	NA	0	0.829998968753223
CDH11	0.829947406414355	1	NA	NA	NA	NA	0	0.829947406414355
