gene	log2FC	padj	AveExpr	t
AL162231.1	0.535543029504712	0.000415854131151628	-2.39296997711523	3.99330710961974
SLC5A9	-0.535489253933884	0.00591849246298587	-0.742525470060431	-3.07365388403481
AL590064.1	-0.535487494952949	6.34553667528983e-06	0.972881681015147	-5.25932361053941
AC005726.1	-0.535408305415198	0.0576787201589457	-5.46555723439837	-2.11704456852976
AC010542.3	0.535382008300141	0.00964041055391246	-3.81554041714415	2.88624758221592
KIF25	-0.535381455536765	0.0201535441314969	-3.96114874403407	-2.58785143882515
LINC00649	-0.535379247646378	0.0243418293575516	1.23573882140017	-2.50778344181154
AP000907.2	-0.535357881342473	0.0246366137664177	-4.40003651746258	-2.50267562384537
GUCY1B2	-0.535325554201251	0.00458903046431383	-4.12431107983116	-3.16829059886077
AC114684.1	-0.53525386149306	0.0179364338823964	-5.35936877823199	-2.63643747867388
PLCB3	0.535117440154606	6.03728211094196e-14	4.71438873887741	10.3913291545821
AC093849.2	-0.535115432286382	0.00328479907926301	-1.99011557616793	-3.29049713094664
LINC01185	-0.535100433175617	0.00248007272862603	-3.75472025582803	-3.38984720498948
CATSPERD	-0.535086362553621	0.0226084554435034	-5.6112535521076	-2.53941588236273
OASL	0.535051045833743	0.00363499625760018	1.65622028031533	3.25362441540513
H4C5	0.535046949037045	0.0194053707476381	-1.18103301162987	2.60359180042812
TMCO3	-0.535039066824201	4.16661852163128e-06	4.49257537156364	-5.37942907695211
AL136310.1	-0.534937075095418	0.0230205313626543	-4.58067758632613	-2.53144763118464
AC073534.2	0.534886176526778	0.00330219982704974	-2.3414331635125	3.28848330778653
ZBED9	-0.534832373254503	3.82137219663773e-08	2.17839293048817	-6.68139405946966
AL512413.1	0.534807659938761	0.00329947133269085	-2.98881102737345	3.28877900482679
CCKAR	0.534742592550625	0.0570760514405257	-6.48306930199218	2.12223609906541
TDRKH	0.534738844772158	4.53153387678557e-09	4.3246723026788	7.26344186709288
AC032044.1	-0.534736041516444	0.00429415418031426	-3.1622367103872	-3.19274209796334
YAF2	0.534716623694369	6.69241132328616e-13	4.40946984564237	9.69632760944371
GTPBP2	0.53450886870887	4.68934283029832e-14	5.52464017933624	10.4651246517427
AC027796.2	0.534495603832636	0.0272021599032332	-4.76368519157731	2.4599810499621
MB21D2	0.534483499233952	1.92403647749637e-08	2.28282049363559	6.86986287997328
WASIR1	0.534471745846984	0.066357871509158	-6.21863546231072	2.04867482136656
AC074051.3	-0.534470086386195	0.000303223591253853	-2.23806014644665	-4.09517852054219
CTRB2	-0.534420889260913	0.0184567858117885	-4.87335539336576	-2.6244482116921
MICB	0.534397176331542	0.000687752437374551	1.12914176377502	3.82902927642858
AC116407.3	-0.53438957018679	0.00203055880551636	-3.50944505803172	-3.46032318428132
AC093864.1	-0.534379867878831	0.0103794945549856	-4.56808774318824	-2.85733363674893
IL17RE	0.534259005357071	1.34001270420462e-06	3.79214179287964	5.70163094607102
TCP11L2	-0.534193420723358	4.69743335973669e-05	2.96032473295481	-4.67165945705279
AL590560.3	-0.534192371188635	8.31035741875429e-05	3.22430981312811	-4.49883510104746
CYB561	-0.534130454633718	8.18505330769136e-08	6.63599824709042	-6.47478101528214
ENAH	0.534117154307895	1.30826613123097e-08	5.49346287572707	6.97525156915855
TRAV13-1	-0.534079638644825	0.0861344588252014	-3.07630485615083	-1.91686601341937
CMYA5	0.534071013126902	0.00016405002767563	4.82968351083068	4.28916310509114
SMG1	-0.534041130875955	2.48353951931862e-08	6.75533408990803	-6.8000272428222
AL158136.1	-0.534037960706059	0.0585971891557938	-6.08495794307679	-2.10950002488822
ZNF48	0.534024478650548	2.71364806607828e-10	3.71507771193683	8.02908894946467
TSHR	-0.533995585924124	7.23849930408786e-08	9.28652367370474	-6.50813811755882
AC020891.2	0.533906590348148	0.0128499444931748	-6.51319822300504	2.77271531123083
TMPRSS13	-0.533868325964304	0.00720239328522062	3.57189994574446	-2.99964222071308
SRGAP2C	0.533724363400853	9.14114445394812e-09	2.10593874154832	7.07235850675261
MYF5	0.533703306010709	0.059633622438265	-6.7544468177656	2.10107337239574
TRMT10A	-0.533681353199031	7.11006530220341e-11	2.83664633893717	-8.39825678182459
AC044787.1	0.533629443338565	0.000920865221846038	-0.792222098158628	3.73145004328509
